Name,Description,Easting,Northing,UTM zone,UTM coordinates
107,,381392,5812653,32U,32U 381392 5812653
468,,381731,5813790,32U,32U 381731 5813790
2KASTBNKER,,381357,5813582,32U,32U 381357 5813582
714 NBU,,381357,5813578,32U,32U 381357 5813578
712 NBU,,381328,5813562,32U,32U 381328 5813562
710 NBU,,381273,5813580,32U,32U 381273 5813580
24 NBU,,381122,5813048,32U,32U 381122 5813048
28 NBU,,381101,5813047,32U,32U 381101 5813047
32 NBU,,381056,5813037,32U,32U 381056 5813037
1001,,380585,5811345,32U,32U 380585 5811345
1002,,380559,5811440,32U,32U 380559 5811440
1003,,380545,5811505,32U,32U 380545 5811505
1004,,380617,5811523,32U,32U 380617 5811523
1005,,380696,5811543,32U,32U 380696 5811543
1006,,380526,5811574,32U,32U 380526 5811574
1007,,380499,5811664,32U,32U 380499 5811664
1008,,380465,5811814,32U,32U 380465 5811814
1009,,380441,5811887,32U,32U 380441 5811887
100B,,380656,5812917,32U,32U 380656 5812917
101,,381386,5812613,32U,32U 381386 5812613
1010,,380424,5811958,32U,32U 380424 5811958
1011,,380403,5812036,32U,32U 380403 5812036
1012,,380379,5812120,32U,32U 380379 5812120
1013,,380361,5812194,32U,32U 380361 5812194
1014,,380596,5812259,32U,32U 380596 5812259
1015,,380689,5812207,32U,32U 380689 5812207
1016,,380705,5812131,32U,32U 380705 5812131
1017,,380721,5812056,32U,32U 380721 5812056
1018,,380747,5811971,32U,32U 380747 5811971
1019,,380767,5811896,32U,32U 380767 5811896
1020,,380709,5811798,32U,32U 380709 5811798
1021,,380630,5811769,32U,32U 380630 5811769
1022,,380557,5811763,32U,32U 380557 5811763
1023,,380804,5811723,32U,32U 380804 5811723
1024,,380832,5811638,32U,32U 380832 5811638
1025,,380849,5811589,32U,32U 380849 5811589
1026,,380873,5811496,32U,32U 380873 5811496
1027,,380904,5811403,32U,32U 380904 5811403
1028,,380817,5811388,32U,32U 380817 5811388
1029,,380739,5811372,32U,32U 380739 5811372
1030,,380668,5811355,32U,32U 380668 5811355
109,,381386,5812663,32U,32U 381386 5812663
113,,381388,5812700,32U,32U 381388 5812700
115,,381384,5812723,32U,32U 381384 5812723
12,,381005,5813270,32U,32U 381005 5813270
121,,381385,5812760,32U,32U 381385 5812760
123,,381385,5812788,32U,32U 381385 5812788
128,,381009,5812884,32U,32U 381009 5812884
128A,,381007,5812919,32U,32U 381007 5812919
128B,,381010,5812962,32U,32U 381010 5812962
129,,381386,5812814,32U,32U 381386 5812814
131,,381391,5812858,32U,32U 381391 5812858
136,,380919,5812984,32U,32U 380919 5812984
137,,381387,5812886,32U,32U 381387 5812886
139,,381390,5812915,32U,32U 381390 5812915
14,,381006,5813233,32U,32U 381006 5813233
141,,381387,5812940,32U,32U 381387 5812940
143,,381383,5812980,32U,32U 381383 5812980
149,,381389,5813001,32U,32U 381389 5813001
15,,381704,5813159,32U,32U 381704 5813159
151,,381393,5813028,32U,32U 381393 5813028
153,,381389,5813051,32U,32U 381389 5813051
155,,381390,5813087,32U,32U 381390 5813087
159,,381348,5813090,32U,32U 381348 5813090
16,,381005,5813202,32U,32U 381005 5813202
161GR,,381332,5813084,32U,32U 381332 5813084
163GR?,,381305,5813084,32U,32U 381305 5813084
165,,381289,5813073,32U,32U 381289 5813073
169,,381233,5813062,32U,32U 381233 5813062
17M,,381668,5813155,32U,32U 381668 5813155
173,,381172,5813050,32U,32U 381172 5813050
18,,381007,5813165,32U,32U 381007 5813165
19,,381638,5813145,32U,32U 381638 5813145
191,,381002,5812714,32U,32U 381002 5812714
195,,381008,5812733,32U,32U 381008 5812733
199,,381004,5812791,32U,32U 381004 5812791
2,,381002,5813457,32U,32U 381002 5813457
20,,381006,5813121,32U,32U 381006 5813121
21,,381624,5813148,32U,32U 381624 5813148
22,,381008,5813053,32U,32U 381008 5813053
220,,381383,5813238,32U,32U 381383 5813238
221,,381388,5813283,32U,32U 381388 5813283
222,,381393,5813309,32U,32U 381393 5813309
223M,,381388,5813340,32U,32U 381388 5813340
224,,381389,5813361,32U,32U 381389 5813361
225,,381391,5813386,32U,32U 381391 5813386
226,,381388,5813410,32U,32U 381388 5813410
227A,,381386,5813428,32U,32U 381386 5813428
228A,,381388,5813478,32U,32U 381388 5813478
23,,381574,5813143,32U,32U 381574 5813143
25,,381526,5813121,32U,32U 381526 5813121
256,,381761,5813159,32U,32U 381761 5813159
26,,381114,5813045,32U,32U 381114 5813045
27,,381502,5813124,32U,32U 381502 5813124
2KAST,,381097,5813036,32U,32U 381097 5813036
30M,,381074,5813034,32U,32U 381074 5813034
300,,381756,5813115,32U,32U 381756 5813115
301NEW,,381755,5813077,32U,32U 381755 5813077
302,,381757,5813061,32U,32U 381757 5813061
303,,381754,5813035,32U,32U 381754 5813035
304,,381753,5813017,32U,32U 381753 5813017
305,,381758,5812973,32U,32U 381758 5812973
306,,381752,5812956,32U,32U 381752 5812956
308,,381752,5812929,32U,32U 381752 5812929
309,,381754,5812908,32U,32U 381754 5812908
311,,381757,5812819,32U,32U 381757 5812819
311A,,381754,5812834,32U,32U 381754 5812834
312,,381752,5812808,32U,32U 381752 5812808
314,,381749,5812759,32U,32U 381749 5812759
316,,381751,5812711,32U,32U 381751 5812711
317,,381750,5812691,32U,32U 381750 5812691
319,,381751,5812674,32U,32U 381751 5812674
319A,,381755,5812654,32U,32U 381755 5812654
325,,381755,5812095,32U,32U 381755 5812095
325A,,381776,5812094,32U,32U 381776 5812094
326,,381790,5812100,32U,32U 381790 5812100
327,,381817,5812105,32U,32U 381817 5812105
355,,381520,5811930,32U,32U 381520 5811930
356,,381519,5811938,32U,32U 381519 5811938
357,,381512,5811968,32U,32U 381512 5811968
